sample_x,predict_x,abs_error_x,percent_error_x,sample_y,predict_y,abs_error_y,percent_error_y,,mean_sample_x,mean_predict_x,mean_abs_error_x,mean_percent_error_x,mean_sample_y,mean_predict_y,mean_abs_error_y,mean_percent_error_y
21.30970213,17.10752731,4.202174817,19.71953804,2.724398096,2.696346657,0.028051438,1.029638004,,35.12477085,33.4476862,3.630361922,11.08423263,0.184187705,-0.946286307,1.197800681,255.8076784
34.92005427,22.02127885,12.89877542,36.93801653,6.287088724,3.739724656,2.547364068,40.51738698,,,,,,,,,
42.54825474,41.33995982,1.208294914,2.839822506,-2.713923767,-4.60584591,1.891922142,69.71169069,,stdev_sample_x,stdev_predict_x,stdev_abs_error_x,stdev_percent_error_x,stdev_sample_y,stdev_predict_y,stdev_abs_error_y,stdev_percent_error_y
28.35648729,28.41252653,0.056039239,0.19762405,-0.347540765,-0.355544979,0.008004214,2.303100655,,13.57297042,13.59573445,3.368410463,9.031028398,3.555635594,3.357966759,0.998141592,1728.524394
33.51295809,25.18519454,8.327763553,24.84938372,6.18294139,4.285801214,1.897140176,30.68345721,,,,,,,,,
66.506005,53.76061917,12.74538583,19.16426318,2.444539057,0.281439415,2.163099642,88.48701501,,,,,,,,,
66.52032541,54.63546336,11.88486205,17.86651219,7.563331454,3.620607119,3.942724334,52.12946648,,,,,,,,,
78.49472604,80.86301559,2.368289554,3.017132071,4.64078238,0.405778262,4.235004119,91.25625319,,,,,,,,,
27.51007115,30.3616754,2.851604247,10.36567384,-0.354525763,-1.485627432,1.131101669,319.0463959,,,,,,,,,
49.85233553,38.7902652,11.06207034,22.1896732,9.83396775,6.266460792,3.567506958,36.27739127,,,,,,,,,
36.67238106,40.64625971,3.973878653,10.83616209,-0.731694659,-2.599578971,1.867884312,255.2819388,,,,,,,,,
35.27948515,33.18507608,2.094409066,5.936620269,-2.707343032,-4.067134634,1.359791602,50.22605508,,,,,,,,,
16.99632681,16.97169401,0.024632804,0.144930162,-3.236646737,-3.704462137,0.4678154,14.45370589,,,,,,,,,
25.98622606,21.49790628,4.488319778,17.27191847,-3.193807177,-3.584190031,0.390382854,12.22311906,,,,,,,,,
52.03171569,49.36567174,2.666043951,5.123882454,-3.37504309,-5.465855907,2.090812817,61.94921847,,,,,,,,,
52.77321873,55.09726789,2.324049164,4.403841988,-0.146043179,-1.730930855,1.584887675,1085.218552,,,,,,,,,
19.99871971,20.19469704,0.195977331,0.979949387,-0.416512732,-0.189195944,0.227316789,54.57619203,,,,,,,,,
43.81089146,41.46617406,2.344717407,5.351905265,-3.795831206,-5.502134853,1.706303647,44.95204226,,,,,,,,,
22.13863831,13.47737107,8.661267236,39.12285442,5.970430065,3.736220012,2.234210054,37.42125825,,,,,,,,,
17.54943745,16.29315427,1.256283172,7.158538136,-3.426512715,-3.452350361,0.025837646,0.75405078,,,,,,,,,
25.64096653,22.406568,3.234398535,12.61418337,2.055564084,2.107997438,0.052433354,2.550801216,,,,,,,,,
49.22674415,45.317119,3.909625146,7.942075419,-0.175310244,-1.539364164,1.36405392,778.0799834,,,,,,,,,
